author_id,author_name,author_profile_url,citation_count
a_1701130,D. Patterson,https://www.semanticscholar.org/author/D.-Patterson/1701130,93
a_1772133,J. Hennessy,https://www.semanticscholar.org/author/J.-Hennessy/1772133,64
a_2574060,Christian Szegedy,https://www.semanticscholar.org/author/Christian-Szegedy/2574060,29
a_2657155,Vincent Vanhoucke,https://www.semanticscholar.org/author/Vincent-Vanhoucke/2657155,34
a_2054165706,Sergey Ioffe,https://www.semanticscholar.org/author/Sergey-Ioffe/2054165706,20
a_1789737,Jonathon Shlens,https://www.semanticscholar.org/author/Jonathon-Shlens/1789737,59
a_3282833,Z. Wojna,https://www.semanticscholar.org/author/Z.-Wojna/3282833,9
a_2115693248,Changwu Zhang,https://www.semanticscholar.org/author/Changwu-Zhang/2115693248,5
a_2213690868,Hao Sun,https://www.semanticscholar.org/author/Hao-Sun/2213690868,3
a_2224462204,Shuman Li,https://www.semanticscholar.org/author/Shuman-Li/2224462204,2
a_46396336,Yao Wang,https://www.semanticscholar.org/author/Yao-Wang/46396336,30
a_2118439046,Haiyan Chen,https://www.semanticscholar.org/author/Haiyan-Chen/2118439046,4
a_2263219,Hengzhu Liu,https://www.semanticscholar.org/author/Hengzhu-Liu/2263219,16
a_2047463680,August Ning,https://www.semanticscholar.org/author/August-Ning/2047463680,6
a_2624177,Georgios Tziantzioulis,https://www.semanticscholar.org/author/Georgios-Tziantzioulis/2624177,4
a_1752172,D. Wentzlaff,https://www.semanticscholar.org/author/D.-Wentzlaff/1752172,28
a_2068343122,Nan Wu,https://www.semanticscholar.org/author/Nan-Wu/2068343122,10
a_1410066063,Yuan Xie,https://www.semanticscholar.org/author/Yuan-Xie/1410066063,59
a_2052900336,Juan Pino,https://www.semanticscholar.org/author/Juan-Pino/2052900336,4
a_34928812,J. Dreiling,https://www.semanticscholar.org/author/J.-Dreiling/34928812,19
a_2633037,B. Neyenhuis,https://www.semanticscholar.org/author/B.-Neyenhuis/2633037,29
a_1717133,L. Eeckhout,https://www.semanticscholar.org/author/L.-Eeckhout/1717133,51
a_153686780,Morten B. Petersen,https://www.semanticscholar.org/author/Morten-B.-Petersen/153686780,4
a_37682821,Ayaz Akram,https://www.semanticscholar.org/author/Ayaz-Akram/37682821,12
a_1772363,L. Sawalha,https://www.semanticscholar.org/author/L.-Sawalha/1772363,8
a_2242958792,S. Moses,https://www.semanticscholar.org/author/S.-Moses/2242958792,15
a_2243238565,J. Pino,https://www.semanticscholar.org/author/J.-Pino/2243238565,7
a_1737836,K. Bertels,https://www.semanticscholar.org/author/K.-Bertels/1737836,38
a_144330671,A. Sarkar,https://www.semanticscholar.org/author/A.-Sarkar/144330671,11
a_145594823,I. Ashraf,https://www.semanticscholar.org/author/I.-Ashraf/145594823,13
a_20862008,Gyu-hyeon Lee,https://www.semanticscholar.org/author/Gyu-hyeon-Lee/20862008,
a_146521344,Dongmoon Min,https://www.semanticscholar.org/author/Dongmoon-Min/146521344,
a_146961287,Ilkwon Byun,https://www.semanticscholar.org/author/Ilkwon-Byun/146961287,
a_2287483,Jangwoo Kim,https://www.semanticscholar.org/author/Jangwoo-Kim/2287483,
a_122192397,Drew Penney,https://www.semanticscholar.org/author/Drew-Penney/122192397,
a_11223062,Lizhong Chen,https://www.semanticscholar.org/author/Lizhong-Chen/11223062,
a_145267291,Rashmi Agrawal,https://www.semanticscholar.org/author/Rashmi-Agrawal/145267291,11
a_66807434,Sahan Bandara,https://www.semanticscholar.org/author/Sahan-Bandara/66807434,6
a_35780376,Alan Ehret,https://www.semanticscholar.org/author/Alan-Ehret/35780376,7
a_33656278,Mihailo Isakov,https://www.semanticscholar.org/author/Mihailo-Isakov/33656278,9
a_37083060,Miguel Mark,https://www.semanticscholar.org/author/Miguel-Mark/37083060,5
a_1726383,Michel A. Kinsy,https://www.semanticscholar.org/author/Michel-A.-Kinsy/1726383,20
a_48448318,J. Dean,https://www.semanticscholar.org/author/J.-Dean/48448318,25
a_2052996328,David A. Patterson,https://www.semanticscholar.org/author/David-A.-Patterson/2052996328,7
a_39660914,C. Young,https://www.semanticscholar.org/author/C.-Young/39660914,35
a_2248334590,Jean-Loup Baer,https://www.semanticscholar.org/author/Jean-Loup-Baer/2248334590,3
a_2116287579,A. Singh,https://www.semanticscholar.org/author/A.-Singh/2116287579,30
a_1643846582,G. Gandhi,https://www.semanticscholar.org/author/G.-Gandhi/1643846582,3
a_47641694,K. Wagner,https://www.semanticscholar.org/author/K.-Wagner/47641694,19
a_2976930,Tero Karras,https://www.semanticscholar.org/author/Tero-Karras/2976930,34
a_36436218,S. Laine,https://www.semanticscholar.org/author/S.-Laine/36436218,41
a_1761103,Timo Aila,https://www.semanticscholar.org/author/Timo-Aila/1761103,46
a_2238205450,Shuangbao Wang,https://www.semanticscholar.org/author/Shuangbao-Wang/2238205450,2
a_70675870,Dulari Bhatt,https://www.semanticscholar.org/author/Dulari-Bhatt/70675870,4
a_144350339,Chirag I. Patel,https://www.semanticscholar.org/author/Chirag-I.-Patel/144350339,14
a_3424424,H. Ghayvat,https://www.semanticscholar.org/author/H.-Ghayvat/3424424,24
a_27802227,P. Faldu,https://www.semanticscholar.org/author/P.-Faldu/27802227,6
a_2309941,B. Grot,https://www.semanticscholar.org/author/B.-Grot/2309941,33
a_38642661,Xiang Fu,https://www.semanticscholar.org/author/Xiang-Fu/38642661,11
a_3409999,L. Riesebos,https://www.semanticscholar.org/author/L.-Riesebos/3409999,7
a_27362922,A. Tlili,https://www.semanticscholar.org/author/A.-Tlili/27362922,42
a_1739411,Fathi Essalmi,https://www.semanticscholar.org/author/Fathi-Essalmi/1739411,21
a_1696756,M. Jemni,https://www.semanticscholar.org/author/M.-Jemni/1696756,29
a_1717411,L. Ceze,https://www.semanticscholar.org/author/L.-Ceze/1717411,57
a_144888943,M. Hill,https://www.semanticscholar.org/author/M.-Hill/144888943,75
a_3334450,T. Wenisch,https://www.semanticscholar.org/author/T.-Wenisch/3334450,54
a_2194602,Vernon J. Lawhern,https://www.semanticscholar.org/author/Vernon-J.-Lawhern/2194602,23
a_7221783,Amelia J. Solon,https://www.semanticscholar.org/author/Amelia-J.-Solon/7221783,7
a_3436871,Nicholas R. Waytowich,https://www.semanticscholar.org/author/Nicholas-R.-Waytowich/3436871,20
